ランダムタスク
Thread ID: 2272969140
Total: 0.001526

 %self     total     self     wait    child    calls  name
  0.47      0.00     0.00     0.00     0.00        6  <Class::Object>#allocate
  0.39      0.00     0.00     0.00     0.00        1  WCBT#DB
  0.39      0.00     0.00     0.00     0.00        3  Array#+
  0.39      0.00     0.00     0.00     0.00        1  String#to_s
  0.31      0.00     0.00     0.00     0.00        2  Kernel#block_given?
  0.31      0.00     0.00     0.00     0.00        3  Fixnum#-
  0.31      0.00     0.00     0.00     0.00        3  Integer#to_i
  0.23      0.00     0.00     0.00     0.00        6  Float#to_f
  0.23      0.00     0.00     0.00     0.00        2  String#to_str
  0.23      0.00     0.00     0.00     0.00        1  Array#uniq
  0.23      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.16      0.00     0.00     0.00     0.00        3  Float#/
  0.16      0.00     0.00     0.00     0.00        1  Array#sort


Thread ID: 2272969140
Total: 0.001311

 %self     total     self     wait    child    calls  name
 27.61      0.00     0.00     0.00     0.00       49  Array#each
  5.03      0.00     0.00     0.00     0.00        3  WCBT#sbgp
  4.50      0.00     0.00     0.00     0.00        3  WCBT#wcsxg
  4.04      0.00     0.00     0.00     0.00        8  Task#get_all_require
  3.74      0.00     0.00     0.00     0.00        6  Array#sort!
  3.66      0.00     0.00     0.00     0.00       43  Fixnum#==
  3.36      0.00     0.00     0.00     0.00       29  Array#<<
  3.20      0.00     0.00     0.00     0.00        4  <Module::Term::ANSIColor>#coloring?
  2.44      0.00     0.00     0.00     0.00        6  Integer#upto
  1.98      0.00     0.00     0.00     0.00        4  WCBT#SR
  1.98      0.00     0.00     0.00     0.00        3  WCBT#wcspg
  1.83      0.00     0.00     0.00     0.00        1  WCBT#set_blocktime
  1.75      0.00     0.00     0.00     0.00       17  Fixnum#+
  1.68      0.00     0.00     0.00     0.00        8  Array#==
  1.68      0.00     0.00     0.00     0.00        6  Class#new
  1.60      0.00     0.00     0.00     0.00        1  Term::ANSIColor#magenta
  1.60      0.00     0.00     0.00     0.00       14  String#==
  1.53      0.00     0.00     0.00     0.00        1  WCBT#SB
  1.53      0.00     0.00     0.00     0.00       11  Fixnum#to_s
  1.45      0.00     0.00     0.00     0.00        6  ReqTuple#initialize
  1.45      0.00     0.00     0.00     0.00        1  Term::ANSIColor#blue
  1.37      0.00     0.00     0.00     0.00        1  WCBT#sbg
  1.30      0.00     0.00     0.00     0.00        5  Object#print_debug
  1.30      0.00     0.00     0.00     0.00        1  WCBT#AB
  1.22      0.00     0.00     0.00     0.00        2  Task#get_short_resource_array
  1.22      0.00     0.00     0.00     0.00        3  WCBT#partition
  1.14      0.00     0.00     0.00     0.00       15  Kernel#==
  0.99      0.00     0.00     0.00     0.00        7  Array#size
  0.92      0.00     0.00     0.00     0.00        2  Task#get_long_resource_array
  0.92      0.00     0.00     0.00     0.00        1  WCBT#procList
  0.84      0.00     0.00     0.00     0.00        6  String#<<
  0.84      0.00     0.00     0.00     0.00        6  Fixnum#*
  0.76      0.00     0.00     0.00     0.00        1  WCBT#LB
  0.76      0.00     0.00     0.00     0.00        1  WCBT#lowest_priority_task
  0.76      0.00     0.00     0.00     0.00        1  WCBT#DB
  0.69      0.00     0.00     0.00     0.00        3  Integer#to_i
  0.69      0.00     0.00     0.00     0.00        4  Array#[]
  0.61      0.00     0.00     0.00     0.00        9  Fixnum#<=>
  0.61      0.00     0.00     0.00     0.00        1  WCBT#show_blocktime_120409
  0.61      0.00     0.00     0.00     0.00        1  WCBT#BB
  0.53      0.00     0.00     0.00     0.00        3  Enumerable#min
  0.46      0.00     0.00     0.00     0.00        3  Float#ceil
  0.46      0.00     0.00     0.00     0.00        4  Kernel#respond_to?
  0.38      0.00     0.00     0.00     0.00        3  Float#/
  0.38      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.38      0.00     0.00     0.00     0.00        6  <Class::Object>#allocate
  0.38      0.00     0.00     0.00     0.00        3  Array#+
  0.31      0.00     0.00     0.00     0.00        2  String#to_str
  0.31      0.00     0.00     0.00     0.00        6  Float#to_f
  0.23      0.00     0.00     0.00     0.00        3  Fixnum#-
  0.23      0.00     0.00     0.00     0.00        1  Array#uniq
  0.23      0.00     0.00     0.00     0.00        2  Kernel#block_given?
  0.23      0.00     0.00     0.00     0.00        1  String#to_s
  0.15      0.00     0.00     0.00     0.00        1  Array#sort
  0.15      0.00     0.00     0.00     0.00        2  Fixnum#<


Thread ID: 2272969140
Total: 0.001279

 %self     total     self     wait    child    calls  name
 28.93      0.00     0.00     0.00     0.00       49  Array#each
  5.16      0.00     0.00     0.00     0.00        3  WCBT#sbgp
  4.22      0.00     0.00     0.00     0.00        3  WCBT#wcsxg
  3.60      0.00     0.00     0.00     0.00        8  Task#get_all_require
  3.36      0.00     0.00     0.00     0.00       43  Fixnum#==
  3.05      0.00     0.00     0.00     0.00        6  Array#sort!
  3.05      0.00     0.00     0.00     0.00       29  Array#<<
  2.58      0.00     0.00     0.00     0.00        3  WCBT#wcspg
  2.50      0.00     0.00     0.00     0.00        6  Integer#upto
  2.19      0.00     0.00     0.00     0.00       17  Fixnum#+
  1.88      0.00     0.00     0.00     0.00        8  Array#==
  1.88      0.00     0.00     0.00     0.00        4  WCBT#SR
  1.80      0.00     0.00     0.00     0.00        1  WCBT#set_blocktime
  1.80      0.00     0.00     0.00     0.00        1  Term::ANSIColor#blue
  1.80      0.00     0.00     0.00     0.00        1  Term::ANSIColor#magenta
  1.72      0.00     0.00     0.00     0.00       15  Kernel#==
  1.72      0.00     0.00     0.00     0.00        5  Object#print_debug
  1.64      0.00     0.00     0.00     0.00       11  Fixnum#to_s
  1.56      0.00     0.00     0.00     0.00        6  ReqTuple#initialize
  1.49      0.00     0.00     0.00     0.00        6  Class#new
  1.41      0.00     0.00     0.00     0.00        1  WCBT#SB
  1.41      0.00     0.00     0.00     0.00       14  String#==
  1.33      0.00     0.00     0.00     0.00        1  WCBT#sbg
  1.25      0.00     0.00     0.00     0.00        9  Fixnum#<=>
  1.09      0.00     0.00     0.00     0.00        4  <Module::Term::ANSIColor>#coloring?
  1.09      0.00     0.00     0.00     0.00        3  WCBT#partition
  1.09      0.00     0.00     0.00     0.00        7  Array#size
  1.09      0.00     0.00     0.00     0.00        1  WCBT#AB
  1.02      0.00     0.00     0.00     0.00        2  Task#get_long_resource_array
  0.94      0.00     0.00     0.00     0.00        6  Fixnum#*
  0.94      0.00     0.00     0.00     0.00        2  Task#get_short_resource_array
  0.86      0.00     0.00     0.00     0.00        1  WCBT#LB
  0.78      0.00     0.00     0.00     0.00        1  WCBT#DB
  0.78      0.00     0.00     0.00     0.00        1  WCBT#show_blocktime_120409
  0.78      0.00     0.00     0.00     0.00        1  WCBT#procList
  0.70      0.00     0.00     0.00     0.00        1  WCBT#lowest_priority_task
  0.70      0.00     0.00     0.00     0.00        4  Array#[]
  0.63      0.00     0.00     0.00     0.00        6  Float#to_f
  0.63      0.00     0.00     0.00     0.00        1  WCBT#BB
  0.63      0.00     0.00     0.00     0.00        3  Enumerable#min
  0.55      0.00     0.00     0.00     0.00        6  String#<<
  0.47      0.00     0.00     0.00     0.00        4  Kernel#respond_to?
  0.47      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.47      0.00     0.00     0.00     0.00        6  <Class::Object>#allocate
  0.39      0.00     0.00     0.00     0.00        3  Fixnum#-
  0.39      0.00     0.00     0.00     0.00        3  Float#ceil
  0.31      0.00     0.00     0.00     0.00        2  Kernel#block_given?
  0.31      0.00     0.00     0.00     0.00        3  Array#+
  0.31      0.00     0.00     0.00     0.00        3  Integer#to_i
  0.23      0.00     0.00     0.00     0.00        1  String#to_s
  0.23      0.00     0.00     0.00     0.00        1  Array#uniq
  0.23      0.00     0.00     0.00     0.00        3  Float#/
  0.23      0.00     0.00     0.00     0.00        2  Fixnum#<
  0.16      0.00     0.00     0.00     0.00        1  Array#sort
  0.16      0.00     0.00     0.00     0.00        2  String#to_str


Thread ID: 2272969140
Total: 0.001261

 %self     total     self     wait    child    calls  name
 30.85      0.00     0.00     0.00     0.00       49  Array#each
  5.23      0.00     0.00     0.00     0.00        3  WCBT#wcsxg
  4.84      0.00     0.00     0.00     0.00        3  WCBT#sbgp
  3.97      0.00     0.00     0.00     0.00        8  Task#get_all_require
  3.89      0.00     0.00     0.00     0.00        6  Array#sort!
  3.01      0.00     0.00     0.00     0.00       43  Fixnum#==
  2.93      0.00     0.00     0.00     0.00       29  Array#<<
  2.54      0.00     0.00     0.00     0.00        6  Integer#upto
  2.22      0.00     0.00     0.00     0.00        4  WCBT#SR
  2.06      0.00     0.00     0.00     0.00        8  Array#==
  1.90      0.00     0.00     0.00     0.00        1  WCBT#set_blocktime
  1.82      0.00     0.00     0.00     0.00        3  WCBT#wcspg
  1.82      0.00     0.00     0.00     0.00       17  Fixnum#+
  1.74      0.00     0.00     0.00     0.00        1  Term::ANSIColor#magenta
  1.74      0.00     0.00     0.00     0.00        5  Object#print_debug
  1.67      0.00     0.00     0.00     0.00        1  WCBT#AB
  1.59      0.00     0.00     0.00     0.00        6  ReqTuple#initialize
  1.59      0.00     0.00     0.00     0.00        3  WCBT#partition
  1.51      0.00     0.00     0.00     0.00        1  Term::ANSIColor#blue
  1.43      0.00     0.00     0.00     0.00        1  WCBT#SB
  1.35      0.00     0.00     0.00     0.00        6  Class#new
  1.27      0.00     0.00     0.00     0.00       15  Kernel#==
  1.27      0.00     0.00     0.00     0.00       11  Fixnum#to_s
  1.11      0.00     0.00     0.00     0.00       14  String#==
  1.11      0.00     0.00     0.00     0.00        1  WCBT#sbg
  1.03      0.00     0.00     0.00     0.00        2  Task#get_short_resource_array
  1.03      0.00     0.00     0.00     0.00        2  Task#get_long_resource_array
  0.95      0.00     0.00     0.00     0.00        6  String#<<
  0.87      0.00     0.00     0.00     0.00        7  Array#size
  0.79      0.00     0.00     0.00     0.00        1  WCBT#procList
  0.71      0.00     0.00     0.00     0.00        6  Fixnum#*
  0.71      0.00     0.00     0.00     0.00        4  <Module::Term::ANSIColor>#coloring?
  0.71      0.00     0.00     0.00     0.00        1  WCBT#LB
  0.63      0.00     0.00     0.00     0.00        1  WCBT#show_blocktime_120409
  0.63      0.00     0.00     0.00     0.00        1  WCBT#lowest_priority_task
  0.63      0.00     0.00     0.00     0.00        9  Fixnum#<=>
  0.63      0.00     0.00     0.00     0.00        6  Float#to_f
  0.63      0.00     0.00     0.00     0.00        1  WCBT#BB
  0.56      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.56      0.00     0.00     0.00     0.00        3  Enumerable#min
  0.56      0.00     0.00     0.00     0.00        6  <Class::Object>#allocate
  0.48      0.00     0.00     0.00     0.00        4  Kernel#respond_to?
  0.40      0.00     0.00     0.00     0.00        1  WCBT#DB
  0.40      0.00     0.00     0.00     0.00        2  String#to_str
  0.40      0.00     0.00     0.00     0.00        2  Kernel#block_given?
  0.32      0.00     0.00     0.00     0.00        3  Fixnum#-
  0.32      0.00     0.00     0.00     0.00        3  Array#+
  0.32      0.00     0.00     0.00     0.00        4  Array#[]
  0.24      0.00     0.00     0.00     0.00        1  Array#sort
  0.24      0.00     0.00     0.00     0.00        2  Fixnum#<
  0.16      0.00     0.00     0.00     0.00        1  String#to_s
  0.16      0.00     0.00     0.00     0.00        3  Float#/
  0.16      0.00     0.00     0.00     0.00        3  Float#ceil
  0.16      0.00     0.00     0.00     0.00        1  Array#uniq
  0.16      0.00     0.00     0.00     0.00        3  Integer#to_i


Thread ID: 2272969140
Total: 0.001353

 %self     total     self     wait    child    calls  name
 30.60      0.00     0.00     0.00     0.00       49  Array#each
  5.17      0.00     0.00     0.00     0.00        3  WCBT#wcsxg
  5.03      0.00     0.00     0.00     0.00        3  WCBT#sbgp
  3.99      0.00     0.00     0.00     0.00        8  Task#get_all_require
  3.47      0.00     0.00     0.00     0.00       43  Fixnum#==
  3.03      0.00     0.00     0.00     0.00        6  Array#sort!
  2.66      0.00     0.00     0.00     0.00        6  Integer#upto
  2.44      0.00     0.00     0.00     0.00        1  WCBT#set_blocktime
  2.29      0.00     0.00     0.00     0.00        4  WCBT#SR
  2.22      0.00     0.00     0.00     0.00       29  Array#<<
  2.00      0.00     0.00     0.00     0.00        3  WCBT#wcspg
  2.00      0.00     0.00     0.00     0.00        1  Term::ANSIColor#blue
  2.00      0.00     0.00     0.00     0.00        6  ReqTuple#initialize
  1.70      0.00     0.00     0.00     0.00        1  WCBT#sbg
  1.70      0.00     0.00     0.00     0.00        1  Term::ANSIColor#magenta
  1.63      0.00     0.00     0.00     0.00       17  Fixnum#+
  1.55      0.00     0.00     0.00     0.00        8  Array#==
  1.40      0.00     0.00     0.00     0.00        1  WCBT#SB
  1.40      0.00     0.00     0.00     0.00        1  WCBT#AB
  1.33      0.00     0.00     0.00     0.00        2  Task#get_short_resource_array
  1.26      0.00     0.00     0.00     0.00        6  Class#new
  1.26      0.00     0.00     0.00     0.00        3  WCBT#partition
  1.26      0.00     0.00     0.00     0.00       15  Kernel#==
  1.18      0.00     0.00     0.00     0.00       14  String#==
  1.11      0.00     0.00     0.00     0.00        1  WCBT#LB
  1.11      0.00     0.00     0.00     0.00       11  Fixnum#to_s
  1.11      0.00     0.00     0.00     0.00        5  Object#print_debug
  1.03      0.00     0.00     0.00     0.00        1  WCBT#show_blocktime_120409
  0.96      0.00     0.00     0.00     0.00        9  Fixnum#<=>
  0.96      0.00     0.00     0.00     0.00        1  WCBT#lowest_priority_task
  0.96      0.00     0.00     0.00     0.00        7  Array#size
  0.89      0.00     0.00     0.00     0.00        6  String#<<
  0.89      0.00     0.00     0.00     0.00        2  Task#get_long_resource_array
  0.81      0.00     0.00     0.00     0.00        1  WCBT#procList
  0.67      0.00     0.00     0.00     0.00        6  Fixnum#*
  0.67      0.00     0.00     0.00     0.00        3  Array#+
  0.59      0.00     0.00     0.00     0.00        4  <Module::Term::ANSIColor>#coloring?
  0.59      0.00     0.00     0.00     0.00        6  <Class::Object>#allocate
  0.59      0.00     0.00     0.00     0.00        1  WCBT#BB
  0.52      0.00     0.00     0.00     0.00        1  WCBT#DB
  0.52      0.00     0.00     0.00     0.00        4  Kernel#respond_to?
  0.44      0.00     0.00     0.00     0.00        3  Enumerable#min
  0.44      0.00     0.00     0.00     0.00        4  Array#[]
  0.37      0.00     0.00     0.00     0.00        6  Float#to_f
  0.30      0.00     0.00     0.00     0.00        2  Fixnum#<
  0.30      0.00     0.00     0.00     0.00        3  Fixnum#-
  0.22      0.00     0.00     0.00     0.00        1  Array#sort
  0.22      0.00     0.00     0.00     0.00        2  String#to_str
  0.22      0.00     0.00     0.00     0.00        2  Kernel#block_given?
  0.22      0.00     0.00     0.00     0.00        3  Float#ceil
  0.22      0.00     0.00     0.00     0.00        3  Integer#to_i
  0.15      0.00     0.00     0.00     0.00        1  String#to_s
  0.15      0.00     0.00     0.00     0.00        1  Array#uniq
  0.15      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.07      0.00     0.00     0.00     0.00        3  Float#/


Thread ID: 2272969140
Total: 0.001280

 %self     total     self     wait    child    calls  name
 29.30      0.00     0.00     0.00     0.00       49  Array#each
  5.08      0.00     0.00     0.00     0.00        3  WCBT#sbgp
  3.91      0.00     0.00     0.00     0.00        3  WCBT#wcsxg
  3.91      0.00     0.00     0.00     0.00       43  Fixnum#==
  3.67      0.00     0.00     0.00     0.00        8  Task#get_all_require
  3.36      0.00     0.00     0.00     0.00        6  Array#sort!
  3.20      0.00     0.00     0.00     0.00       29  Array#<<
  2.58      0.00     0.00     0.00     0.00        6  Integer#upto
  2.34      0.00     0.00     0.00     0.00       14  String#==
  2.11      0.00     0.00     0.00     0.00        4  WCBT#SR
  2.03      0.00     0.00     0.00     0.00        1  WCBT#set_blocktime
  1.88      0.00     0.00     0.00     0.00        1  Term::ANSIColor#blue
  1.80      0.00     0.00     0.00     0.00       15  Kernel#==
  1.72      0.00     0.00     0.00     0.00        1  WCBT#SB
  1.72      0.00     0.00     0.00     0.00        3  WCBT#wcspg
  1.56      0.00     0.00     0.00     0.00        6  ReqTuple#initialize
  1.56      0.00     0.00     0.00     0.00        1  Term::ANSIColor#magenta
  1.48      0.00     0.00     0.00     0.00        6  Class#new
  1.48      0.00     0.00     0.00     0.00        1  WCBT#AB
  1.48      0.00     0.00     0.00     0.00       17  Fixnum#+
  1.41      0.00     0.00     0.00     0.00       11  Fixnum#to_s
